name,director,actors,genre,other,year,link
A Life Less Ordinary,Danny Boyle,NA,Black comedy,Figment Films,1997,/wiki/A_Life_Less_Ordinary
A Life of Her Own,George Cukor,NA,Drama,MGM,1950,/wiki/A_Life_of_Her_Own
A Likely Story,H. C. Potter,NA,Comedy,RKO,1947,/wiki/A_Likely_Story
A Lion Is in the Streets,Raoul Walsh,NA,Drama,Warner Bros.,1953,/wiki/A_Lion_Is_in_the_Streets
A Little Bit of Heaven,Andrew Marton,NA,Musical,NA,1940,/wiki/A_Little_Bit_of_Heaven_(1940_film)
A Little Help,Michael J. Weithorn,NA,Comedy,Secret Handshake Entertainment,2010,/wiki/A_Little_Help
A Little Night Music,Harold Prince,NA,Musical,NA,1977,/wiki/A_Little_Night_Music_(film)
A Little Romance,George Roy Hill,NA,Comedy,Lane's first film,1979,/wiki/A_Little_Romance
A Lost Lady,Alfred E. Green,NA,NA,NA,1934,/wiki/A_Lost_Lady_(film)
A Lot Like Love,Nigel Cole,NA,Comedy,NA,2005,/wiki/A_Lot_Like_Love
A Love Song for Bobby Long,Shainee Gabel,NA,Drama,NA,2004,/wiki/A_Love_Song_for_Bobby_Long
A Lovely Way to Die,David Lowell Rich,NA,Drama,Universal,1968,/wiki/A_Lovely_Way_to_Die
A Low Down Dirty Shame,Keenen Ivory Wayans,NA,Comedy,NA,1994,/wiki/A_Low_Down_Dirty_Shame_(film)
A Majority of One,Mervyn LeRoy,NA,Comedy,NA,1961,/wiki/A_Majority_of_One_(film)
A Man Apart,F. Gary Gray,NA,Crime,NA,2003,/wiki/A_Man_Apart
A Man Betrayed,John H. Auer,NA,Drama,NA,1941,/wiki/A_Man_Betrayed_(1941_film)
A Man Called Horse,Elliot Silverstein,Richard Harris,Western,National General,1970,/wiki/A_Man_Called_Horse_(1970_film)
A Man Called Peter,Henry Koster,NA,Drama,NA,1955,/wiki/A_Man_Called_Peter
A Man Called Sarge,Stuart Gillard,NA,Comedy,World War II comedy,1990,/wiki/A_Man_Called_Sarge
A Man Could Get Killed,Ronald Neame,NA,Spy film,Universal,1966,/wiki/A_Man_Could_Get_Killed
A Man for All Seasons,Charlton Heston,NA,Biography,TV remake of 1965 film,1988,/wiki/A_Man_for_All_Seasons_(1988_film)
A Man from Wyoming,Rowland V. Lee,NA,Western,NA,1930,/wiki/A_Man_from_Wyoming
A Man to Remember,Garson Kanin,NA,Drama,NA,1938,/wiki/A_Man_to_Remember
A Man's Land,Phil Rosen,NA,Western,NA,1932,/w/index.php?title=A_Man%27s_Land&action=edit&redlink=1
A Map of the World,Scott Eliott,NA,Drama,NA,1999,/wiki/A_Map_of_the_World_(film)
A Matter of Morals,John Cromwell,NA,Drama,United Artists,1961,/wiki/A_Matter_of_Morals
A Matter of Time,Vincente Minnelli,NA,Fantasy,NA,1976,/wiki/A_Matter_of_Time_(1976_film)
A Medal for Benny,Irving Pichel,NA,Drama,Paramount,1945,/wiki/A_Medal_for_Benny
A Merry Mix Up,Jules White,Three Stooges,Slapstick,NA,1957,/wiki/A_Merry_Mix_Up
A Message to Garcia,George Marshall,NA,War,Twentieth Century,1936,/wiki/A_Message_to_Garcia_(1936_film)
A Midnight Clear,Keith Gordon,NA,"War, Drama",NA,1992,/wiki/A_Midnight_Clear
A Midsummer Night's Dream,NA,NA,"Comedy, Fantasy",NA,1935,/wiki/A_Midsummer_Night%27s_Dream_(1935_film)
A Midsummer Night's Dream,Michael Hoffman,NA,Shakespearean,NA,1999,/wiki/A_Midsummer_Night%27s_Dream_(1999_film)
A Midsummer Night's Sex Comedy,Woody Allen,NA,Comedy,NA,1982,/wiki/A_Midsummer_Night%27s_Sex_Comedy
A Midwinter's Tale,Kenneth Branagh,Michael Maloney,Drama,NA,1995,/wiki/A_Midwinter%27s_Tale
A Mighty Heart,Michael Winterbottom,Angelina Jolie,Drama,NA,2007,/wiki/A_Mighty_Heart_(film)
A Mighty Wind,Christopher Guest,NA,Mockumentary,NA,2003,/wiki/A_Mighty_Wind
A Million to Juan,NA,NA,Comedy,NA,1994,/wiki/A_Million_to_Juan
A Million to One,Lynn Shores,NA,NA,NA,1937,/wiki/A_Million_to_One
A Millionaire for Christy,George Marshall,NA,Comedy,20th Century Fox,1951,/wiki/A_Millionaire_for_Christy
A Modern Twain Story: The Prince and the Pauper,James Quattrochi,NA,NA,NA,2007,/wiki/A_Modern_Twain_Story:_The_Prince_and_the_Pauper
A Mom for Christmas,George T. Miller,Olivia Newton-John,Family,Made for TV,1990,/wiki/A_Mom_for_Christmas
A Month of Sundays,Stewart Raffill,NA,Drama,NA,2001,NA
A Mother's Instinct,Sam Pillsbury,Lindsay Wagner,Drama,made for TV,1996,/wiki/A_Mother%27s_Instinct
A Mouse in the House,NA,Tom and Jerry,Animated,NA,1947,/wiki/A_Mouse_in_the_House
A Movie,Bruce Conner,NA,NA,NA,1958,/wiki/A_Movie
A New Kind of Love,Melville Shavelson,NA,Comedy,Paramount,1963,/wiki/A_New_Kind_of_Love
A New Leaf,Elaine May,NA,comedy,NA,1971,/wiki/A_New_Leaf_(film)
A New Life,Alan Alda,NA,Romantic comedy,NA,1988,/wiki/A_New_Life_(film)
A Nice Little Bank That Should Be Robbed,Henry Levin,NA,Crime comedy,20th Century Fox,1958,/wiki/A_Nice_Little_Bank_That_Should_Be_Robbed
A Night at Earl Carroll's,Kurt Neumann,NA,Musical,NA,1940,/wiki/A_Night_at_Earl_Carroll%27s
A Night at the Opera,NA,NA,"Comedy, Musical",NA,1935,/wiki/A_Night_at_the_Opera_(film)
A Night at the Roxbury,John Fortenberry,NA,Comedy,NA,1998,/wiki/A_Night_at_the_Roxbury
A Night in Casablanca,Archie Mayo,NA,Comedy,United Artists,1946,/wiki/A_Night_in_Casablanca
A Night in Heaven,John G. Avildsen,NA,Drama,20th Century Fox,1983,/wiki/A_Night_in_Heaven
A Night in the Life of Jimmy Reardon,William Richert,NA,Drama,based on Richert's novel,1988,/wiki/A_Night_in_the_Life_of_Jimmy_Reardon
A Night of Adventure,Gordon Douglas,NA,Crime mystery,RKO,1944,/wiki/A_Night_of_Adventure
A Night to Remember,Richard Wallace,NA,Drama,Columbia,1942,/wiki/A_Night_to_Remember_(1942_film)
A Nightingale Sang in Berkeley Square,Ralph Thomas,NA,Crime comedy,Thomas's final film,1979,/wiki/A_Nightingale_Sang_in_Berkeley_Square_(film)
A Nightmare on Elm Street,Wes Craven,NA,Horror,NA,1984,/wiki/A_Nightmare_on_Elm_Street
A Nightmare on Elm Street,Samuel Bayer,NA,Horror,NA,2010,/wiki/A_Nightmare_on_Elm_Street_(2010_film)
A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder,NA,Slasher,NA,1985,/wiki/A_Nightmare_on_Elm_Street_2:_Freddy%27s_Revenge
A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,NA,Slasher,NA,1987,/wiki/A_Nightmare_on_Elm_Street_3:_Dream_Warriors
A Nightmare on Elm Street 4: The Dream Master,Renny Harlin,Robert Englund,Horror,sequel,1988,/wiki/A_Nightmare_on_Elm_Street_4:_The_Dream_Master
A Nightmare on Elm Street 5: The Dream Child,Stephen Hopkins,Robert Englund,Horror,4th sequel of series,1989,/wiki/A_Nightmare_on_Elm_Street_5:_The_Dream_Child
A Notorious Affair,Lloyd Bacon,NA,Romantic drama,NA,1930,/wiki/A_Notorious_Affair
A Parisian Romance,Chester M. Franklin,NA,Romance,NA,1932,/wiki/A_Parisian_Romance
A Passage to India,David Lean,NA,Drama,NA,1984,/wiki/A_Passage_to_India_(film)
A Passport to Hell,Frank Lloyd,NA,Drama,Fox,1932,/wiki/A_Passport_to_Hell
A Patch of Blue,Guy Green,NA,Drama,NA,1965,/wiki/A_Patch_of_Blue
A Perfect Couple,Robert Altman,NA,Comedy,20th Century Fox,1979,/wiki/A_Perfect_Couple
A Perfect Getaway,David Twohy,NA,Thriller,NA,2009,/wiki/A_Perfect_Getaway
A Perfect Murder,Andrew Davis,NA,Thriller,NA,1998,/wiki/A_Perfect_Murder
A Perfect World,Clint Eastwood,NA,"Drama, Crime",Warner Bros.,1993,/wiki/A_Perfect_World
A Perilous Journey,R. G. Springsteen,NA,Adventure,Republic,1953,/wiki/A_Perilous_Journey
A Personal Journey with Martin Scorsese Through American Movies,Martin Scorsese,Martin Scorsese,Documentary,NA,1995,/wiki/A_Personal_Journey_with_Martin_Scorsese_Through_American_Movies
A Pest in the House,NA,NA,Animation,NA,1947,/wiki/A_Pest_in_the_House
A Piece of the Action,Sidney Poitier,NA,Comedy,3rd Cosby-Poitier pairing,1977,/wiki/A_Piece_of_the_Action_(film)
A Place for Lovers,Vittorio De Sica,NA,Drama,MGM,1968,/wiki/A_Place_for_Lovers
A Place in the Sun,George Stevens,NA,Drama,NA,1951,/wiki/A_Place_in_the_Sun_(film)
A Place to Live,Irving Lerner,NA,Documentary,NA,1941,/wiki/A_Place_to_Live
A Prairie Home Companion,Robert Altman,NA,Musical comedy,NA,2006,/wiki/A_Prairie_Home_Companion_(film)
A Prayer for the Dying,Mike Hodges,NA,NA,NA,1987,/wiki/A_Prayer_for_the_Dying
A Price Above Rubies,Boaz Yakin,NA,Drama,NA,1998,/wiki/A_Price_Above_Rubies
A Private Matter,Joan Micklin Silver,NA,Drama,TV,1992,/wiki/A_Private_Matter
A Prize of Gold,Mark Robson,NA,Drama,NA,1955,/wiki/A_Prize_of_Gold
A Rage in Harlem,Bill Duke,NA,Drama,NA,1991,/wiki/A_Rage_in_Harlem_(film)
A Rage to Live,Walter Grauman,NA,Drama,NA,1965,/wiki/A_Rage_to_Live
A Raisin in the Sun,Daniel Petrie,NA,Drama,NA,1961,/wiki/A_Raisin_in_the_Sun_(1961_film)
A Reflection of Fear,William A. Fraker,NA,Drama,Columbia,1972,/wiki/A_Reflection_of_Fear
A Return to Salem's Lot,Larry Cohen,NA,Horror,NA,1987,/wiki/A_Return_to_Salem%27s_Lot
A River Made to Drown In,NA,NA,Drama,NA,1997,/wiki/A_River_Made_to_Drown_In
A River Runs Through It,Robert Redford,NA,Drama,NA,1992,/wiki/A_River_Runs_Through_It_(film)
A Royal Scandal,Otto Preminger,NA,Comedy,20th Century Fox,1945,/wiki/A_Royal_Scandal_(film)
A Safe Place,Henry Jaglom,NA,drama,Columbia,1971,/wiki/A_Safe_Place
A Scandal in Paris,Douglas Sirk,NA,Drama,NA,1946,/wiki/A_Scandal_in_Paris
A Scanner Darkly,Richard Linklater,NA,Animation,NA,2006,/wiki/A_Scanner_Darkly_(film)
A Scream in the Dark,George Sherman,NA,Suspense,Republic,1943,/wiki/A_Scream_in_the_Dark
A Serious Man,Joel and Ethan Coen,NA,Comedy,Focus Features,2009,/wiki/A_Serious_Man
A Shock to the System,Jan Egleson,NA,Thriller,NA,1990,/wiki/A_Shock_to_the_System_(1990_film)
A Shot in the Dark,William McCann,NA,Drama,Warner Bros.,1941,/wiki/A_Shot_in_the_Dark_(1941_film)
A Shot in the Dark,Blake Edwards,NA,Comedy,NA,1964,/wiki/A_Shot_in_the_Dark_(1964_film)
A Show of Force,Bruno Barreto,NA,Drama,Maravilla Hill case,1990,/wiki/A_Show_of_Force
A Shriek in the Night,Albert Ray,NA,Mystery,NA,1933,/wiki/A_Shriek_in_the_Night
A Simple Plan,Sam Raimi,NA,Drama,NA,1998,/wiki/A_Simple_Plan_(film)
A Simple Twist of Fate,Gilles MacKinnon,NA,Drama,NA,1994,/wiki/A_Simple_Twist_of_Fate
A Simple Wish,Michael Ritchie,NA,Fantasy,Ritchie's final film,1997,/wiki/A_Simple_Wish
A Single Man,Tom Ford,NA,Drama,The Weinstein Company,2009,/wiki/A_Single_Man
A Slight Case of Larceny,Don Weis,NA,Comedy,MGM,1953,/wiki/A_Slight_Case_of_Larceny
A Slight Case of Murder,Lloyd Bacon,NA,"Comedy, Crime",Warner Bros.,1938,/wiki/A_Slight_Case_of_Murder
A Slipping-Down Life,Toni Kalem,NA,Romance,NA,1999,/wiki/A_Slipping-Down_Life
A Small Circle of Friends,Rob Cohen,NA,Drama,United Artists,1980,/wiki/A_Small_Circle_of_Friends
A Small Town in Texas,Jack Starrett,NA,Crime,A.I.P.,1976,/wiki/A_Small_Town_in_Texas
A Smile Like Yours,Keith Samples,NA,Comedy,NA,1997,/wiki/A_Smile_Like_Yours
A Snitch in Time,Edward Bernds,The Three Stooges,Comedy,NA,1950,/wiki/A_Snitch_in_Time
A Soldier's Plaything,Michael Curtiz,NA,Comedy drama,NA,1930,/wiki/A_Soldier%27s_Plaything
A Soldier's Story,Norman Jewison,NA,Drama,NA,1984,/wiki/A_Soldier%27s_Story
A Son Comes Home,E.A. Dupont,NA,Drama,NA,1936,/wiki/A_Son_Comes_Home
A Song for Miss Julie,William Rowland,Shirley Ross,Musical,Republic,1945,/wiki/A_Song_for_Miss_Julie
A Song Is Born,Howard Hawks,NA,Musical,NA,1948,/wiki/A_Song_Is_Born
A Song to Remember,Charles Vidor,NA,Biography,NA,1945,/wiki/A_Song_to_Remember
A Sound of Thunder,Peter Hyams,NA,Science fiction,NA,2005,/wiki/A_Sound_of_Thunder_(film)
A Southern Yankee,Edward Sedgwick,NA,Comedy,MGM,1948,/wiki/A_Southern_Yankee
A Sporting Chance,George Blair,NA,Drama,Republic,1945,/wiki/A_Sporting_Chance_(1945_film)
A Star Is Born,William A. Wellman,NA,Drama,United Artists,1937,/wiki/A_Star_Is_Born_(1937_film)
A Star Is Born,George Cukor,NA,Musical,NA,1954,/wiki/A_Star_Is_Born_(1954_film)
A Star is Born,Frank Pierson,NA,"Musical, drama","remake of 1937, 1954 films",1976,/wiki/A_Star_Is_Born_(1976_film)
A State of Vine,Don Scioli,NA,Documentary,NA,2007,/wiki/A_State_of_Vine_(film)
A Stolen Life,Curtis Bernhardt,NA,Drama,Warner Bros.,1946,/wiki/A_Stolen_Life_(1946_film)
A Story of Healing,Donna Dewey,NA,Documentary,28 minutes,1996,/wiki/A_Story_of_Healing
A Strange Adventure,Phil Whitman,NA,Mystery,Monogram,1932,/wiki/A_Strange_Adventure_(1932_film)
A Strange Adventure,William Witney,NA,Drama,Republic,1956,/wiki/A_Strange_Adventure
A Stranger Among Us,Sidney Lumet,NA,Crime drama,Hollywood Pictures,1992,/wiki/A_Stranger_Among_Us
A Stranger in Town,Roy Rowland,NA,"Drama, Comedy",MGM,1943,/wiki/A_Stranger_in_Town_(1943_film)
A Streetcar Named Desire,Elia Kazan,NA,Drama,NA,1951,/wiki/A_Streetcar_Named_Desire_(1951_film)
A Study in Scarlet,Edwin L. Marin,NA,Drama,NA,1933,/wiki/A_Study_in_Scarlet_(1933_film)
A Successful Calamity,John G. Adolfi,NA,Comedy,Warner Bros.,1932,/wiki/A_Successful_Calamity
A Summer Place,Delmer Daves,NA,Drama,NA,1959,/wiki/A_Summer_Place_(film)
A Swingin' Summer,Robert Sparr,NA,Comedy,Welch's first starring role,1965,/wiki/A_Swingin%27_Summer
A Symposium on Popular Songs,Bill Justice,NA,Animated,Disney,1962,/wiki/A_Symposium_on_Popular_Songs
A Tale of Two Cities,Jack Conway,NA,Drama,NA,1935,/wiki/A_Tale_of_Two_Cities_(1935_film)
A Tale of Two Cities,NA,NA,Propaganda,on Japan bombings,1946,/wiki/A_Tale_of_Two_Cities_(1946_film)
A Tale of Two Kitties,Bob Clampett,NA,Animation,NA,1942,/wiki/A_Tale_of_Two_Kitties
A Tale of Two Mice,Frank Tashlin,NA,Animated,NA,1945,/wiki/A_Tale_of_Two_Mice
A Talent for Loving,Richard Quine,NA,"Western, comedy",Paramount,1969,/wiki/A_Talent_for_Loving_(film)
A Terrible Beauty,Tay Garnett,NA,Drama,United Artists,1960,/wiki/A_Terrible_Beauty_(film)
A Thin Line Between Love and Hate,Martin Lawrence,NA,Comedy,first film directed by Lawrence,1996,/wiki/A_Thin_Line_Between_Love_and_Hate
A Thousand Acres,Jocelyn Moorhouse,NA,Drama,NA,1997,/wiki/A_Thousand_Acres_(film)
A Thousand and One Nights,Alfred E. Green,NA,Fantasy,Columbia,1945,/wiki/A_Thousand_and_One_Nights_(1945_film)
A Thousand Clowns,Fred Coe,NA,"Comedy, Drama",NA,1965,/wiki/A_Thousand_Clowns
A Thunder of Drums,Joseph M. Newman,NA,Western,MGM,1961,/wiki/A_Thunder_of_Drums
A Ticket to Tomahawk,Richard Sale,NA,Western comedy,20th Century Fox,1950,/wiki/A_Ticket_to_Tomahawk
A Ticklish Affair,George Sidney,NA,Comedy,MGM,1963,/wiki/A_Ticklish_Affair
A Tiger Walks,Norman Tokar,NA,Family,NA,1964,/wiki/A_Tiger_Walks
A Tiger's Tale,Peter Douglas,NA,Drama,NA,1987,/wiki/A_Tiger%27s_Tale
A Time for Dying,Budd Boetticher,NA,Western,"final film of Murphy, Boetticher",1969,/wiki/A_Time_for_Dying
A Time for Killing,Phil Karlson,NA,Western,NA,1967,/wiki/A_Time_for_Killing
A Time of Destiny,Gregory Nava,NA,Drama,NA,1988,/wiki/A_Time_of_Destiny_(film)
A Time to Heal,Michael T. Uno,NA,Drama,TV,1994,/wiki/A_Time_to_Heal_(film)
A Time to Kill,Joel Schumacher,NA,Drama,NA,1996,/wiki/A_Time_to_Kill_(film)
A Time to Love and a Time to Die,Douglas Sirk,NA,Drama,Universal,1958,/wiki/A_Time_to_Love_and_a_Time_to_Die
A Town Called Bastard,Robert Parrish,NA,western,NA,1971,/wiki/A_Town_Called_Bastard
A Tragedy at Midnight,Joseph Santley,NA,Comedy,Republic,1942,/wiki/A_Tragedy_at_Midnight
A Tree Grows in Brooklyn,Elia Kazan,NA,Drama,NA,1945,/wiki/A_Tree_Grows_in_Brooklyn_(film)
A Troll in Central Park,NA,NA,Animated,NA,1994,/wiki/A_Troll_in_Central_Park
A Very Brady Christmas,Peter Baldwin,NA,Comedy,NA,1988,/wiki/A_Very_Brady_Christmas
A Very Brady Sequel,Arlene Sanford,NA,Comedy,NA,1996,/wiki/A_Very_Brady_Sequel
A Very Honorable Guy,Lloyd Bacon,NA,Comedy,NA,1934,/wiki/A_Very_Honorable_Guy
A Very Long Engagement,Jean-Pierre Jeunet,NA,War film,NA,2004,/wiki/A_Very_Long_Engagement
A Very Natural Thing,Christopher Larkin,Robert McLane,Drama,NA,1974,/wiki/A_Very_Natural_Thing
A Very Special Favor,Michael Gordon,NA,Romantic comedy,Universal,1965,/wiki/A_Very_Special_Favor
A Very Young Lady,Harold D. Schuster,NA,Comedy,NA,1941,/wiki/A_Very_Young_Lady
A View from the Bridge,Sidney Lumet,NA,Drama,NA,1962,/wiki/A_View_from_the_Bridge_(film)
A View to a Kill,John Glen,NA,Action,James Bond,1985,/wiki/A_View_to_a_Kill
A Walk in the Spring Rain,Guy Green,NA,Romance,Columbia,1970,/wiki/A_Walk_in_the_Spring_Rain
A Walk in the Sun,Lewis Milestone,NA,NA,20th Century Fox,1945,/wiki/A_Walk_in_the_Sun_(1945_film)
A Walk on the Moon,Tony Goldwyn,NA,Drama,Miramax,1999,/wiki/A_Walk_on_the_Moon
A Walk to Remember,Adam Shankman,NA,Romance,NA,2002,/wiki/A_Walk_to_Remember
"A Wave, a WAC and a Marine",Phil Karlson,NA,Romantic war comedy,Monogram,1944,"/wiki/A_Wave,_a_WAC_and_a_Marine"
A Wedding,Robert Altman,NA,Comedy,20th Century Fox,1978,/wiki/A_Wedding
A Wicked Woman,Charles Brabin,NA,Drama,NA,1934,/wiki/A_Wicked_Woman
A Wild Hare,Tex Avery,NA,NA,NA,1940,/wiki/A_Wild_Hare
A Woman Commands,Paul L. Stein,NA,Drama,RKO,1932,/wiki/A_Woman_Commands
A Woman Rebels,Mark Sandrich,NA,Drama,RKO,1936,/wiki/A_Woman_Rebels
A Woman Scorned,Treva Etienne,Marcia Johnson,Thriller,NA,1999,/wiki/A_Woman_Scorned_(1999_film)
A Woman Under the Influence,John Cassavetes,NA,Drama,NA,1974,/wiki/A_Woman_Under_the_Influence
A Woman's Devotion,Paul Henreid,NA,Film noir,Republic,1956,/wiki/A_Woman%27s_Devotion
A Woman's Face,George Cukor,NA,Drama,MGM,1941,/wiki/A_Woman%27s_Face
A Woman's Secret,Nicholas Ray,NA,Film noir,RKO,1949,/wiki/A_Woman%27s_Secret
A Woman's Vengeance,Zoltan Korda,NA,Mystery,Universal,1948,/wiki/A_Woman%27s_Vengeance
A Yank at Eton,Norman Taurog,NA,Drama,MGM,1942,/wiki/A_Yank_at_Eton
A Yank at Oxford,Jack Conway,NA,"Comedy, Drama",MGM,1938,/wiki/A_Yank_at_Oxford
A Yank in Korea,Lew Landers,NA,War,Columbia,1951,/wiki/A_Yank_in_Korea
A Yank in Libya,Albert Herman,NA,Spy,NA,1942,/wiki/A_Yank_in_Libya
A Yank in London,Herbert Wilcox,NA,Drama,20th Century Fox,1946,/wiki/I_Live_in_Grosvenor_Square
A Yank in the RAF,Henry King,NA,"War, romance",20th Century Fox,1941,/wiki/A_Yank_in_the_RAF
A-Haunting We Will Go,Alfred L. Werker,NA,Comedy,Laurel and Hardy,1942,/wiki/A-Haunting_We_Will_Go_(1942_film)
A-Lad-In His Lamp,Robert McKimson,Bugs Bunny,Animated,Warner Bros.,1948,/wiki/A-Lad-In_His_Lamp
A.D.,Stewart Cooper,NA,NA,NA,1985,/wiki/A.D._(film)
Aaron Loves Angela,"Gordon Parks, Jr.",NA,Drama,NA,1975,/wiki/Aaron_Loves_Angela
Aaron Slick from Punkin Crick,Claude Binyon,NA,Comedy,Paramount,1952,/wiki/Aaron_Slick_from_Punkin_Crick
Abandoned,Joseph M. Newman,NA,Film noir,Universal,1949,/wiki/Abandoned_(1949_film)
Abbott and Costello Go to Mars,Charles Lamont,NA,Comedy,Universal,1953,/wiki/Abbott_and_Costello_Go_to_Mars
Abbott and Costello in Hollywood,S. Sylvan Simon,NA,Comedy,MGM,1945,/wiki/Abbott_and_Costello_in_Hollywood
Abbott and Costello in the Foreign Legion,Charles Lamont,NA,Comedy,Universal,1950,/wiki/Abbott_and_Costello_in_the_Foreign_Legion
Abbott and Costello Meet Captain Kidd,Charles Lamont,NA,Comedy,Warner Bros.,1952,/wiki/Abbott_and_Costello_Meet_Captain_Kidd
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Charles Lamont,NA,Comedy,Universal,1953,/wiki/Abbott_and_Costello_Meet_Dr._Jekyll_and_Mr._Hyde
Abbott and Costello Meet Frankenstein,Charles Barton,NA,Comedy,Universal Pictures,1948,/wiki/Abbott_and_Costello_Meet_Frankenstein
Abbott and Costello Meet the Invisible Man,Charles Lamont,NA,NA,Universal,1951,/wiki/Abbott_and_Costello_Meet_the_Invisible_Man
Abbott and Costello Meet the Keystone Kops,Charles Lamont,NA,Comedy,NA,1955,/wiki/Abbott_and_Costello_Meet_the_Keystone_Kops
"Abbott and Costello Meet the Killer, Boris Karloff",Charles Barton,NA,Comedy,Universal,1949,"/wiki/Abbott_and_Costello_Meet_the_Killer,_Boris_Karloff"
Abbott and Costello Meet the Mummy,Charles Lamont,Abbott and Costello,Horror comedy,NA,1955,/wiki/Abbott_and_Costello_Meet_the_Mummy
Abby,William Girdler,NA,Horror,NA,1974,/wiki/Abby_(film)
Abe Lincoln in Illinois,John Cromwell,NA,NA,NA,1940,/wiki/Abe_Lincoln_in_Illinois_(film)
Aberration,Tim Boxell,Pamela Gidley,Horror,NA,1997,/wiki/Aberration_(film)
Abie's Irish Rose,A. Edward Sutherland,NA,Comedy,NA,1946,/wiki/Abie%27s_Irish_Rose_(1946_film)
Abilene Town,Edwin L. Marin,NA,Western,United Artists,1946,/wiki/Abilene_Town
Abominable,Ryan Schifrin,NA,Horror,NA,2006,/wiki/Abominable
About a Boy,NA,NA,"Comedy, Drama",NA,2002,/wiki/About_a_Boy_(film)
About Face,Roy Del Ruth,NA,Comedy,Warner Bros.,1952,/wiki/About_Face_(1952_film)
About Last Night...,Edward Zwick,NA,Romantic comedy,NA,1986,/wiki/About_Last_Night...
About Mrs. Leslie,Daniel Mann,NA,Drama,Paramount,1954,/wiki/About_Mrs._Leslie
About Schmidt,Alexander Payne,NA,"Comedy, Drama",NA,2002,/wiki/About_Schmidt
Above and Beyond,NA,NA,War,MGM,1952,/wiki/Above_and_Beyond_(film)
Above Suspicion,Richard Thorpe,NA,Spy,MGM,1943,/wiki/Above_Suspicion_(1943_film)
Above Suspicion,Steven Schachter,NA,Thriller,HBO,1995,/wiki/Above_Suspicion_(1995_film)
Above the Law,Andrew Davis,NA,Action,Seagal's first film,1988,/wiki/Above_the_Law_(film)
Above the Rim,Jeff Pollack,NA,Drama,NA,1994,/wiki/Above_the_Rim
Abraham,Joseph Sargent,NA,Drama,TV,1994,/wiki/Abraham_(film)
Abraham Lincoln,D. W. Griffith,NA,Drama,NA,1930,/wiki/Abraham_Lincoln_(1930_film)
Abroad with Two Yanks,Allan Dwan,NA,Comedy,United Artists,1944,/wiki/Abroad_with_Two_Yanks
Absence of Malice,Sydney Pollack,NA,Drama,NA,1981,/wiki/Absence_of_Malice
Absolute Power,Clint Eastwood,NA,Crime drama,NA,1997,/wiki/Absolute_Power_(film)
Absolute Quiet,George B. Seitz,NA,"Comedy, Drama",MGM,1936,/wiki/Absolute_Quiet
Accent on Crime,Albert Herman,NA,Crime drama,Producers Releasing Corp.,1944,/wiki/Accent_on_Crime
Accent on Youth,Wesley Ruggles,NA,Comedy,NA,1935,/wiki/Accent_on_Youth_(film)
Accepted,Steve Pink,NA,Comedy,NA,2006,/wiki/Accepted
Accidents Will Happen,William Clemens,NA,"Drama, Crime",Warner Bros.,1938,/wiki/Accidents_Will_Happen_(film)
Accomplice,Walter Colmes,NA,Crime,PRC,1946,/wiki/Accomplice_(1946_film)
Accused of Murder,Joseph Kane,NA,Film noir,Republic,1956,/wiki/Accused_of_Murder
Ace Eli and Rodger of the Skies,John Erman,NA,Drama,20th Century Fox,1973,/wiki/Ace_Eli_and_Rodger_of_the_Skies
Ace in the Hole,Billy Wilder,NA,Drama,NA,1951,/wiki/Ace_in_the_Hole_(1951_film)
Ace of Aces,J. Walter Ruben,NA,"Drama, War",NA,1933,/wiki/Ace_of_Aces_(1933_film)
Ace Ventura: Pet Detective,Tom Shadyac,NA,Comedy,NA,1994,/wiki/Ace_Ventura:_Pet_Detective
Ace Ventura: When Nature Calls,Steve Oedekerk,NA,Comedy,sequel,1995,/wiki/Ace_Ventura:_When_Nature_Calls
Aces and Eights,Sam Newfield,NA,Western,NA,1936,/wiki/Aces_and_Eights_(1936_film)
Across 110th Street,Barry Shear,NA,Crime drama,United Artists,1972,/wiki/Across_110th_Street
Across the Bridge,Ken Annakin,NA,Drama,NA,1957,/wiki/Across_the_Bridge_(film)
Across the Great Divide,Stewart Raffill,Heather Rattray,Family,NA,1976,/wiki/Across_the_Great_Divide_(1976_film)
